2022-03-03/11:27:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:56		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:56		 wafer_16012020_051629.csv: File loaded successfully!!
2022-03-03/11:27:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:59		 wafer_20022020_090716.csv: File loaded successfully!!
2022-03-03/11:27:59		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:27:59		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:27:59		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:27:59		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:27:59		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:27:59		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:27:59		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:27:59		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:27:59		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:27:59		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:27:59		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
